Date,Month,Hour,dewpt,heatindex,temp,rain,humidity previous
1,11,11,9.0,28.55371024444439,30.0,0,27.0
1,11,12,10.0,27.19198765244444,28.0,0,32.0
1,11,13,11.0,25.365927369777822,24.0,0,44.0
1,11,14,10.0,25.32340360044449,24.0,0,41.0
1,11,16,11.0,25.107242299111192,23.0,0,47.0
1,11,17,12.0,24.687719567111134,21.0,0,56.0
1,11,18,13.0,24.3844609537778,21.0,0,60.0
1,11,19,13.0,24.3844609537778,21.0,0,60.0
1,11,20,13.0,23.729859448444422,19.0,0,68.0
1,11,21,13.0,23.729859448444422,19.0,0,68.0
1,11,22,13.0,23.729859448444422,19.0,0,68.0
1,11,23,12.0,24.36399508755552,19.0,0,64.0
2,11,0,11.0,24.87223665377769,19.0,0,60.0
2,11,1,11.0,24.87223665377769,19.0,0,60.0
2,11,2,10.0,25.113674355555517,20.0,0,52.0
2,11,3,10.0,25.002857939555547,22.0,0,46.0
2,11,4,10.0,25.109700885777798,23.0,0,44.0
2,11,5,11.0,26.166993063111168,26.0,0,39.0
2,11,6,10.0,27.19198765244444,28.0,0,32.0
2,11,7,10.0,28.681861811111112,30.0,0,29.0
2,11,8,8.0,29.277009109777826,31.0,0,24.0
2,11,9,7.0,29.166921647555608,31.0,0,22.0
2,11,10,7.0,29.166921647555608,31.0,0,22.0
2,11,11,8.0,28.442480055555517,30.0,0,25.0
2,11,12,10.0,26.58378090355558,27.0,0,34.0
2,11,13,11.0,25.70876514444449,25.0,0,41.0
2,11,14,12.0,24.84068785377777,22.0,0,53.0
2,11,15,12.0,24.687719567111134,21.0,0,56.0
2,11,16,12.0,24.36399508755552,19.0,0,64.0
2,11,17,12.0,24.520848177777744,20.0,0,60.0
2,11,18,12.0,24.36399508755552,19.0,0,64.0
2,11,19,11.0,24.87223665377769,19.0,0,60.0
2,11,20,11.0,24.91989094044449,17.0,0,68.0
2,11,21,11.0,24.91989094044449,17.0,0,68.0
2,11,22,12.0,24.023721852444485,17.0,0,72.0
2,11,23,12.0,24.023721852444485,17.0,0,72.0
3,11,0,11.0,24.91989094044449,17.0,0,68.0
3,11,1,11.0,24.935770476444482,16.0,0,72.0
3,11,2,10.0,25.809378040444496,17.0,0,63.0
3,11,3,12.0,24.36399508755552,19.0,0,64.0
3,11,4,12.0,24.84068785377777,22.0,0,53.0
