Date,Month,Hour,heatindex,humidity,rain,temp,temp previous
1,11,11,28.55371024444439,27.0,0,28.0,30.0
1,11,12,27.19198765244444,32.0,0,24.0,28.0
1,11,13,25.365927369777822,44.0,0,24.0,24.0
1,11,14,25.32340360044449,41.0,0,23.0,24.0
1,11,16,25.107242299111192,47.0,0,21.0,23.0
1,11,17,24.687719567111134,56.0,0,21.0,21.0
1,11,18,24.3844609537778,60.0,0,21.0,21.0
1,11,19,24.3844609537778,60.0,0,19.0,21.0
1,11,20,23.729859448444422,68.0,0,19.0,19.0
1,11,21,23.729859448444422,68.0,0,19.0,19.0
1,11,22,23.729859448444422,68.0,0,19.0,19.0
1,11,23,24.36399508755552,64.0,0,19.0,19.0
2,11,0,24.87223665377769,60.0,0,19.0,19.0
2,11,1,24.87223665377769,60.0,0,20.0,19.0
2,11,2,25.113674355555517,52.0,0,22.0,20.0
2,11,3,25.002857939555547,46.0,0,23.0,22.0
2,11,4,25.109700885777798,44.0,0,26.0,23.0
2,11,5,26.166993063111168,39.0,0,28.0,26.0
2,11,6,27.19198765244444,32.0,0,30.0,28.0
2,11,7,28.681861811111112,29.0,0,31.0,30.0
2,11,8,29.277009109777826,24.0,0,31.0,31.0
2,11,9,29.166921647555608,22.0,0,31.0,31.0
2,11,10,29.166921647555608,22.0,0,30.0,31.0
2,11,11,28.442480055555517,25.0,0,27.0,30.0
2,11,12,26.58378090355558,34.0,0,25.0,27.0
2,11,13,25.70876514444449,41.0,0,22.0,25.0
2,11,14,24.84068785377777,53.0,0,21.0,22.0
2,11,15,24.687719567111134,56.0,0,19.0,21.0
2,11,16,24.36399508755552,64.0,0,20.0,19.0
2,11,17,24.520848177777744,60.0,0,19.0,20.0
2,11,18,24.36399508755552,64.0,0,19.0,19.0
2,11,19,24.87223665377769,60.0,0,17.0,19.0
2,11,20,24.91989094044449,68.0,0,17.0,17.0
2,11,21,24.91989094044449,68.0,0,17.0,17.0
2,11,22,24.023721852444485,72.0,0,17.0,17.0
2,11,23,24.023721852444485,72.0,0,17.0,17.0
3,11,0,24.91989094044449,68.0,0,16.0,17.0
3,11,1,24.935770476444482,72.0,0,17.0,16.0
3,11,2,25.809378040444496,63.0,0,19.0,17.0
3,11,3,24.36399508755552,64.0,0,22.0,19.0
3,11,4,24.84068785377777,53.0,0,22.0,22.0
3,11,5,24.463074981777684,60.0,0,26.0,22.0
3,11,6,26.34682050977776,44.0,0,28.0,26.0
3,11,7,27.095502235111056,30.0,0,28.0,28.0
3,11,8,27.352912241777727,35.0,0,29.0,28.0
3,11,9,28.05942110177773,33.0,0,29.0,29.0
3,11,10,28.05942110177773,33.0,0,27.0,29.0
3,11,11,26.8,39.0,0,26.0,27.0
3,11,12,26.27479532977772,42.0,0,22.0,26.0
3,11,13,24.463074981777684,60.0,0,22.0,22.0
3,11,14,24.651289819111103,57.0,0,21.0,22.0
3,11,15,24.3844609537778,60.0,0,21.0,21.0
3,11,16,24.687719567111134,56.0,0,20.0,21.0
3,11,17,24.063710555555506,64.0,0,20.0,20.0
3,11,18,24.520848177777744,60.0,0,19.0,20.0
3,11,19,24.36399508755552,64.0,0,19.0,19.0
3,11,20,23.729859448444422,68.0,0,19.0,19.0
